Тип объекта,"Визуализация при кол-ве 1 (z, d)","Визуализация при кол-ве 2 (z, d)","Визуализация при кол-ве 3 (z, d)","Визуализация при кол-ве 4 (z, d)","Визуализация при кол-ве 5 (z, d)","Визуализация при кол-ве 6 (z, d)","Визуализация при кол-ве 7 (z, d)","Визуализация при кол-ве 8 (z, d)","Визуализация при кол-ве 9 (z, d)","Визуализация при кол-ве 10 (z, d)"
Дом,"104, 215","109, 217","110, 220","115, 220","120, 228","123, 228","127, 236","129, 238","134, 240","140, 241"
Машина,"106, 206","113, 211","113, 211","120, 212","124, 216","124, 217","134, 217","135, 221","135, 221","141, 222"
Дерево,"103, 209","105, 210","108, 211","110, 213","113, 213","116, 214","116, 220","117, 222","121, 225","123, 226"
Куст,"103, 211","103, 211","110, 216","114, 221","115, 225","116, 225","117, 229","121, 229","123, 230","125, 230"
Дорога,"98, 214","99, 219","102, 219","102, 219","105, 220","106, 221","107, 222","108, 223","109, 224","110, 225"
Тротуар,"103, 207","104, 210","107, 219","108, 219","108, 219","109, 221","109, 232","109, 232","112, 233","113, 234"
